"holiday";"name"
"2010-01-01";"New Years Day"
"2010-01-18";"Martin Luther King Day"
"2010-02-15";"Washingtons Birthday"
"2010-04-02";"Good Friday"
"2010-05-31";"Memorial Day"
"2010-07-05";"Independence Day (observed)"
"2010-09-06";"Labor Day"
"2010-11-25";"Thanksgiving"
"2010-12-24";"Christmas (observed)"
"2010-12-31";"New Years Eve"
"2011-01-17";"Martin Luther King Day"
"2011-02-21";"Washingtons Birthday"
"2011-04-22";"Good Friday"
"2011-05-30";"Memorial Day"
"2011-07-04";"Independence Day"
"2011-09-05";"Labor Day"
"2011-11-24";"Thanksgiving"
"2011-12-26";"Christmas (observed)"
"2012-01-02";"New Years Day"
"2012-01-16";"Martin Luther King Day"
"2012-02-20";"Washingtons Birthday"
"2012-04-06";"Good Friday"
"2012-05-28";"Memorial Day"
"2012-07-04";"Independence Day"
"2012-09-03";"Labor Day"
"2012-11-22";"Thanksgiving"
"2012-12-25";"Christmas"
