"TradeDate";"Open";"High";"Low";"Close";"Volume"
"2005-01-03";1211.92;1217.9;1200.3;1202.08;1
"2005-01-04";1202.08;1205.84;1185.39;1188.05;1
"2005-01-05";1188.05;1192.75;1183.72;1183.74;1
"2005-01-06";1183.74;1191.63;1183.23;1187.89;1
"2005-01-07";1187.89;1192.2;1182.11;1186.19;1
"2005-01-10";1186.19;1194.78;1184.8;1190.25;1
"2005-01-11";1190.25;1190.25;1180.43;1182.99;1
"2005-01-12";1182.99;1187.98;1175.64;1187.7;1
"2005-01-13";1187.7;1187.7;1175.61;1177.45;1
"2005-01-14";1177.45;1185.21;1177.45;1184.52;1
"2005-01-18";1184.52;1195.98;1180.1;1195.98;1
"2005-01-19";1195.98;1195.98;1184.37;1184.63;1
"2005-01-20";1184.63;1184.63;1173.39;1175.41;1
"2005-01-21";1175.41;1179.55;1167.82;1167.87;1
"2005-01-24";1167.87;1173.17;1163.75;1163.75;1
"2005-01-25";1163.75;1174.3;1163.75;1168.41;1
"2005-01-26";1168.41;1175.99;1168.41;1174.07;1
"2005-01-27";1174.07;1177.5;1170.15;1174.55;1
"2005-01-28";1174.55;1175.63;1166.3;1171.36;1
"2005-01-31";1171.36;1182.07;1171.36;1181.27;1
"2005-02-01";1181.27;1190.39;1180.95;1189.41;1
"2005-02-02";1189.41;1195.25;1188.92;1193.19;1
"2005-02-03";1193.19;1193.19;1185.63;1189.89;1
"2005-02-04";1189.89;1203.47;1189.67;1203.03;1
"2005-02-07";1203.03;1204.15;1199.27;1201.72;1
"2005-02-08";1201.72;1205.11;1200.16;1202.3;1
"2005-02-09";1202.3;1203.83;1191.54;1191.99;1
"2005-02-10";1191.99;1198.75;1191.54;1197.01;1
"2005-02-11";1197.01;1208.38;1193.28;1205.3;1
"2005-02-14";1205.3;1206.93;1203.59;1206.14;1
"2005-02-15";1206.14;1212.44;1205.52;1210.12;1
"2005-02-16";1210.12;1212.44;1205.06;1210.34;1
"2005-02-17";1210.34;1211.33;1200.74;1200.75;1
"2005-02-18";1200.75;1202.92;1197.35;1201.59;1
"2005-02-22";1201.59;1202.48;1184.16;1184.16;1
"2005-02-23";1184.16;1193.52;1184.16;1190.8;1
"2005-02-24";1190.8;1200.42;1187.84;1200.2;1
"2005-02-25";1200.2;1212.15;1199.61;1211.37;1
"2005-02-28";1211.37;1211.37;1198.13;1203.6;1
"2005-03-01";1203.6;1212.25;1203.6;1210.41;1
"2005-03-02";1210.41;1215.76;1204.22;1210.08;1
"2005-03-03";1210.08;1215.72;1204.45;1210.47;1
"2005-03-04";1210.47;1224.76;1210.47;1222.12;1
"2005-03-07";1222.12;1229.11;1222.12;1225.31;1
"2005-03-08";1225.31;1225.69;1218.57;1219.43;1
"2005-03-09";1219.43;1219.43;1206.66;1207.01;1
"2005-03-10";1207.01;1211.23;1201.41;1209.25;1
"2005-03-11";1209.25;1213.04;1198.15;1200.08;1
"2005-03-14";1200.08;1206.83;1199.51;1206.83;1
"2005-03-15";1206.83;1210.54;1197.75;1197.75;1
"2005-03-16";1197.75;1197.75;1185.61;1188.07;1
"2005-03-17";1188.07;1193.28;1186.34;1190.21;1
"2005-03-18";1190.21;1191.98;1182.78;1189.65;1
"2005-03-21";1189.65;1189.65;1178.82;1183.78;1
"2005-03-22";1183.78;1189.59;1171.63;1171.71;1
"2005-03-23";1171.71;1176.26;1168.7;1172.53;1
"2005-03-24";1172.53;1180.11;1171.42;1171.42;1
"2005-03-28";1171.42;1179.91;1171.42;1174.28;1
"2005-03-29";1174.28;1179.39;1163.69;1165.36;1
"2005-03-30";1165.36;1181.54;1165.36;1181.41;1
"2005-03-31";1181.41;1184.53;1179.49;1180.59;1
"2005-04-01";1180.59;1189.8;1169.91;1172.92;1
"2005-04-04";1172.79;1178.61;1167.72;1176.12;1
"2005-04-05";1176.12;1183.56;1176.12;1181.39;1
"2005-04-06";1181.39;1189.34;1181.39;1184.07;1
"2005-04-07";1184.07;1191.88;1183.81;1191.14;1
"2005-04-08";1191.14;1191.75;1181.13;1181.2;1
"2005-04-11";1181.2;1184.07;1178.69;1181.21;1
"2005-04-12";1181.21;1190.17;1170.85;1187.76;1
"2005-04-13";1187.76;1187.76;1171.4;1173.79;1
"2005-04-14";1173.79;1174.67;1161.7;1162.05;1
"2005-04-15";1162.05;1162.05;1141.92;1142.62;1
"2005-04-18";1142.62;1148.92;1139.8;1145.98;1
"2005-04-19";1145.98;1154.67;1145.98;1152.78;1
"2005-04-20";1152.78;1155.5;1136.15;1137.5;1
"2005-04-21";1137.5;1159.95;1137.5;1159.95;1
"2005-04-22";1159.95;1159.95;1142.95;1152.12;1
"2005-04-25";1152.12;1164.05;1152.12;1162.1;1
"2005-04-26";1162.1;1164.8;1151.74;1151.74;1
"2005-04-27";1151.74;1159.87;1144.42;1156.38;1
"2005-04-28";1156.38;1156.38;1143.22;1143.22;1
"2005-04-29";1143.22;1156.97;1139.19;1156.85;1
"2005-05-02";1156.85;1162.87;1154.71;1162.16;1
"2005-05-03";1162.16;1166.89;1156.71;1161.17;1
"2005-05-04";1161.17;1176.01;1161.17;1175.65;1
"2005-05-05";1175.65;1178.62;1166.77;1172.63;1
"2005-05-06";1172.63;1177.75;1170.5;1171.35;1
"2005-05-09";1171.35;1178.87;1169.38;1178.84;1
"2005-05-10";1178.84;1178.84;1162.98;1166.22;1
"2005-05-11";1166.22;1171.77;1157.71;1171.11;1
"2005-05-12";1171.11;1173.37;1157.76;1159.36;1
"2005-05-13";1159.36;1163.75;1146.18;1154.05;1
"2005-05-16";1154.05;1165.75;1153.64;1165.69;1
"2005-05-17";1165.69;1174.35;1159.86;1173.8;1
"2005-05-18";1173.8;1187.9;1173.8;1185.56;1
"2005-05-19";1185.56;1191.09;1184.49;1191.08;1
"2005-05-20";1191.08;1191.22;1185.19;1189.28;1
"2005-05-23";1189.28;1197.44;1188.76;1193.86;1
"2005-05-24";1193.86;1195.29;1189.87;1194.07;1
"2005-05-25";1194.07;1194.07;1185.96;1190.01;1
"2005-05-26";1190.01;1198.95;1190.01;1197.62;1
"2005-05-27";1197.62;1199.56;1195.28;1198.78;1
"2005-05-31";1198.78;1198.78;1191.5;1191.5;1
"2005-06-01";1191.5;1205.64;1191.03;1202.27;1
"2005-06-02";1202.27;1204.67;1198.42;1204.29;1
"2005-06-03";1204.29;1205.09;1194.55;1196.02;1
"2005-06-06";1196.02;1198.78;1192.75;1197.51;1
"2005-06-07";1197.51;1208.85;1197.26;1197.26;1
"2005-06-08";1197.26;1201.97;1193.33;1194.67;1
"2005-06-09";1194.67;1201.86;1191.09;1200.93;1
"2005-06-10";1200.93;1202.79;1192.64;1198.11;1
"2005-06-13";1198.11;1206.03;1194.51;1200.82;1
"2005-06-14";1200.82;1207.53;1200.18;1203.91;1
"2005-06-15";1203.91;1208.08;1198.66;1206.58;1
"2005-06-16";1206.55;1212.1;1205.47;1210.96;1
"2005-06-17";1210.93;1219.55;1210.93;1216.96;1
"2005-06-20";1216.96;1219.1;1210.65;1216.1;1
"2005-06-21";1216.1;1217.13;1211.86;1213.61;1
"2005-06-22";1213.61;1219.59;1211.69;1213.88;1
"2005-06-23";1213.88;1216.45;1200.72;1200.73;1
"2005-06-24";1200.73;1200.9;1191.45;1191.57;1
"2005-06-27";1191.57;1194.33;1188.3;1190.69;1
"2005-06-28";1190.69;1202.54;1190.69;1201.57;1
"2005-06-29";1201.57;1204.07;1198.7;1199.85;1
"2005-06-30";1199.85;1203.27;1190.51;1191.33;1
"2005-07-01";1191.33;1197.89;1191.33;1194.44;1
"2005-07-05";1194.44;1206.34;1192.49;1204.99;1
"2005-07-06";1204.99;1206.11;1194.78;1194.94;1
"2005-07-07";1194.94;1198.46;1183.55;1197.87;1
"2005-07-08";1197.87;1212.73;1197.2;1211.86;1
"2005-07-11";1211.86;1220.03;1211.86;1219.44;1
"2005-07-12";1219.44;1225.54;1216.6;1222.21;1
"2005-07-13";1222.21;1224.46;1219.64;1223.29;1
"2005-07-14";1223.29;1233.16;1223.29;1226.5;1
"2005-07-15";1226.5;1229.53;1223.5;1227.92;1
"2005-07-18";1227.92;1227.92;1221.13;1221.13;1
"2005-07-19";1221.13;1230.34;1221.13;1229.35;1
"2005-07-20";1229.35;1236.56;1222.91;1235.2;1
